Point ID	p	Points_Magnitude	powerDensity.fixedPower	T.interface	T.liquid	T.vapour	U.liquid_Magnitude
0	nan	0.000000e+00	nan	nan	nan	nan	nan
1	1.490261e+07	1.655149e-03	0.000000e+00	6.147570e+02	6.027500e+02	6.108871e+02	4.682920e+00
2	1.490259e+07	3.310298e-03	0.000000e+00	6.147568e+02	6.027500e+02	6.110195e+02	4.682920e+00
3	1.490258e+07	4.965446e-03	0.000000e+00	6.147568e+02	6.027500e+02	6.111519e+02	4.682920e+00
4	1.490256e+07	6.620596e-03	0.000000e+00	6.147567e+02	6.027500e+02	6.112843e+02	4.682920e+00
5	1.490254e+07	8.275745e-03	0.000000e+00	6.147566e+02	6.027500e+02	6.114167e+02	4.682920e+00
6	1.490252e+07	9.930893e-03	0.000000e+00	6.147565e+02	6.027500e+02	6.115491e+02	4.682920e+00
7	1.490250e+07	1.158604e-02	0.000000e+00	6.147565e+02	6.027500e+02	6.116815e+02	4.682920e+00
8	1.490248e+07	1.324119e-02	0.000000e+00	6.147563e+02	6.027500e+02	6.118138e+02	4.682920e+00
9	1.490246e+07	1.489634e-02	0.000000e+00	6.147563e+02	6.027500e+02	6.119462e+02	4.682920e+00
10	1.490244e+07	1.655149e-02	0.000000e+00	6.147562e+02	6.027500e+02	6.120786e+02	4.682920e+00
11	1.490242e+07	1.820664e-02	0.000000e+00	6.147561e+02	6.027500e+02	6.122111e+02	4.682920e+00
12	1.490240e+07	1.986179e-02	0.000000e+00	6.147560e+02	6.027500e+02	6.123434e+02	4.682920e+00
13	1.490238e+07	2.151693e-02	0.000000e+00	6.147559e+02	6.027500e+02	6.124758e+02	4.682920e+00
14	1.490236e+07	2.317208e-02	0.000000e+00	6.147559e+02	6.027500e+02	6.126082e+02	4.682920e+00
15	1.490234e+07	2.482723e-02	0.000000e+00	6.147558e+02	6.027500e+02	6.127406e+02	4.682920e+00
16	1.490232e+07	2.648238e-02	0.000000e+00	6.147557e+02	6.027500e+02	6.128730e+02	4.682920e+00
