Point ID,alpha.liquid,alpha.vapour
0,nan,nan
1,0.434492,0
2,0.434492,0
3,0.434492,0
4,0.434492,0
5,0.434492,0
6,0.434492,0
7,0.434492,0
8,0.434492,0
9,0.434492,0
10,0.434492,0
11,0.434492,0
12,0.434492,0
13,0.434492,0
14,0.434492,0
15,0.434492,0
16,0.434492,0
17,0.434492,0
18,0.434492,0
19,0.434492,0
20,0.434492,0
21,0.434492,0
22,0.434492,0
23,0.434492,0
24,0.434492,0
25,0.434492,0
26,0.434492,0
27,0.434492,0
28,0.434492,0
29,0.434492,0
30,0.434492,0
31,0.434211,0.000281474
32,0.433854,0.000638439
33,0.433497,0.000995404
34,0.43314,0.00135237
35,0.432783,0.00170934
36,0.432426,0.0020663
37,0.432069,0.00242327
38,0.431712,0.00278023
39,0.431355,0.0031372
40,0.430998,0.00349416
41,0.430641,0.00385113
42,0.430284,0.00420809
43,0.429927,0.00456506
44,0.42957,0.00492202
45,0.429213,0.00527899
46,0.428856,0.00563595
47,0.428499,0.00599292
48,0.428142,0.00634988
49,0.427785,0.00670685
50,0.427428,0.00706381
51,0.427071,0.00742078
52,0.426714,0.00777774
53,0.426357,0.00813471
54,0.426,0.00849168
55,0.425643,0.00884864
56,0.425286,0.00920561
57,0.424929,0.00956257
58,0.424572,0.00991954
59,0.424215,0.0102765
60,0.423858,0.0106335
61,0.423571,0.0109214
62,0.423333,0.0111587
63,0.423096,0.011396
64,0.422859,0.0116333
65,0.422621,0.0118706
66,0.422384,0.0121079
67,0.422147,0.0123452
68,0.421909,0.0125825
69,0.421672,0.0128198
70,0.421435,0.013057
71,0.421198,0.0132943
72,0.42096,0.0135316
73,0.420723,0.0137689
74,0.420486,0.0140062
75,0.420248,0.0142435
76,0.420011,0.0144808
77,0.419774,0.0147181
78,0.419537,0.0149554
79,0.419299,0.0151927
80,0.419062,0.01543
81,0.418825,0.0156673
82,0.418587,0.0159046
83,0.41835,0.0161419
84,0.418113,0.0163792
85,0.417875,0.0166165
86,0.417638,0.0168538
87,0.417401,0.0170911
88,0.417164,0.0173284
89,0.416926,0.0175657
90,0.416689,0.017803
91,0.416452,0.0180403
92,0.416214,0.0182776
93,0.415977,0.0185149
94,0.41574,0.0187522
95,0.415502,0.0189895
96,0.415265,0.0192268
97,0.415028,0.0194641
98,0.414791,0.0197014
99,0.414553,0.0199387
100,0.414316,0.0201759
101,0.414079,0.0204132
102,0.413841,0.0206505
103,0.413604,0.0208878
104,0.413367,0.0211251
105,0.413129,0.0213624
106,0.412892,0.0215997
107,0.412655,0.021837
108,0.412418,0.0220743
109,0.41218,0.0223116
110,0.411943,0.0225489
111,0.411706,0.0227862
112,0.411468,0.0230235
113,0.411231,0.0232608
114,0.410994,0.0234981
115,0.410756,0.0237354
116,0.410519,0.0239727
117,0.410282,0.02421
118,0.410045,0.0244473
119,0.409807,0.0246846
120,0.40957,0.0249219
121,0.409333,0.0251592
122,0.409095,0.0253965
123,0.408858,0.0256338
124,0.40873,0.0257623
125,0.408608,0.0258838
126,0.408487,0.0260052
127,0.408365,0.0261267
128,0.408244,0.0262481
129,0.408122,0.0263696
130,0.408001,0.026491
131,0.407879,0.0266125
132,0.407758,0.0267339
133,0.407636,0.0268554
134,0.407515,0.0269768
135,0.407394,0.0270983
136,0.407272,0.0272197
137,0.407151,0.0273412
138,0.407029,0.0274626
139,0.406908,0.0275841
140,0.406786,0.0277055
141,0.406665,0.027827
142,0.406543,0.0279484
143,0.406422,0.0280699
144,0.406301,0.0281913
145,0.406179,0.0283128
146,0.406058,0.0284342
147,0.405936,0.0285557
148,0.405815,0.0286771
149,0.405693,0.0287986
150,0.405572,0.02892
151,0.40545,0.0290415
152,0.405329,0.0291629
153,0.405207,0.0292844
154,0.405086,0.0294058
155,0.404965,0.0295273
156,0.404843,0.0296487
157,0.404722,0.0297702
158,0.4046,0.0298916
159,0.404479,0.0300131
160,0.404357,0.0301345
161,0.404236,0.030256
162,0.404114,0.0303774
163,0.403993,0.0304989
164,0.403871,0.0306203
165,0.40375,0.0307418
166,0.403629,0.0308632
167,0.403507,0.0309847
168,0.403386,0.0311061
169,0.403264,0.0312276
170,0.403143,0.031349
171,0.403021,0.0314705
172,0.4029,0.0315919
173,0.402778,0.0317134
174,0.402657,0.0318348
175,0.402536,0.0319563
176,0.402414,0.0320777
177,0.402293,0.0321992
178,0.402171,0.0323206
179,0.40205,0.0324421
180,0.401928,0.0325635
181,0.401807,0.032685
182,0.401685,0.0328064
183,0.401564,0.0329279
184,0.401442,0.0330493
185,0.401321,0.0331708
186,0.4012,0.0332918
187,0.40108,0.0334117
188,0.40096,0.0335315
189,0.40084,0.0336514
190,0.400721,0.0337713
191,0.400601,0.0338912
192,0.400481,0.0340111
193,0.400361,0.0341309
194,0.400241,0.0342508
195,0.400121,0.0343707
196,0.400001,0.0344906
197,0.399881,0.0346105
198,0.399761,0.0347304
199,0.399642,0.0348502
200,0.399522,0.0349701
201,0.399402,0.03509
202,0.399282,0.0352099
203,0.399162,0.0353298
204,0.399042,0.0354496
205,0.398922,0.0355695
206,0.398802,0.0356894
207,0.398683,0.0358093
208,0.398563,0.0359292
209,0.398443,0.0360491
210,0.398323,0.0361689
211,0.398203,0.0362888
212,0.398083,0.0364087
213,0.397963,0.0365286
214,0.397843,0.0366485
215,0.397724,0.0367683
216,0.397604,0.0368882
217,0.397484,0.0370081
218,0.397364,0.037128
219,0.397244,0.0372479
220,0.397124,0.0373677
221,0.397004,0.0374876
222,0.396884,0.0376075
223,0.396765,0.0377274
224,0.396645,0.0378473
225,0.396525,0.0379672
226,0.396405,0.038087
227,0.396285,0.0382069
228,0.396165,0.0383268
229,0.396045,0.0384467
230,0.395925,0.0385666
231,0.395806,0.0386865
232,0.395686,0.0388063
233,0.395566,0.0389262
234,0.395446,0.0390461
235,0.395326,0.039166
236,0.395206,0.0392859
237,0.395086,0.0394057
238,0.394966,0.0395256
239,0.394846,0.0396455
240,0.394727,0.0397654
241,0.394607,0.0398853
242,0.394487,0.0400051
243,0.394367,0.040125
244,0.394247,0.0402449
245,0.394127,0.0403648
246,0.394007,0.0404847
247,0.393887,0.0406046
248,0.393768,0.0407244
249,0.393634,0.0408582
250,0.393493,0.0409991
251,0.393352,0.04114
252,0.393211,0.041281
253,0.39307,0.0414219
254,0.392929,0.0415628
255,0.392788,0.0417037
256,0.392647,0.0418446
257,0.392507,0.0419855
258,0.392366,0.0421264
259,0.392225,0.0422673
260,0.392084,0.0424082
261,0.391943,0.0425491
262,0.391802,0.04269
263,0.391661,0.042831
264,0.39152,0.0429719
265,0.391379,0.0431128
266,0.391238,0.0432537
267,0.391098,0.0433946
268,0.390957,0.0435355
269,0.390816,0.0436764
270,0.390675,0.0438173
271,0.390534,0.0439582
272,0.390393,0.0440991
273,0.390252,0.04424
274,0.390111,0.0443809
275,0.38997,0.0445219
276,0.389829,0.0446628
277,0.389688,0.0448037
278,0.389548,0.0449446
279,0.389407,0.0450855
280,0.389266,0.0452264
281,0.389125,0.0453673
282,0.388984,0.0455082
283,0.388843,0.0456491
284,0.388702,0.04579
285,0.388561,0.0459309
286,0.38842,0.0460718
287,0.388279,0.0462128
288,0.388139,0.0463537
289,0.387998,0.0464946
290,0.387857,0.0466355
291,0.387716,0.0467764
292,0.387575,0.0469173
293,0.387434,0.0470582
294,0.387293,0.0471991
295,0.387152,0.04734
296,0.387011,0.0474809
297,0.38687,0.0476218
298,0.386729,0.0477628
299,0.386589,0.0479037
300,0.386448,0.0480446
301,0.386307,0.0481855
302,0.386166,0.0483264
303,0.386025,0.0484673
304,0.385884,0.0486082
305,0.385743,0.0487491
306,0.385602,0.04889
307,0.385461,0.0490309
308,0.38532,0.0491718
309,0.38518,0.0493127
310,0.385039,0.0494537
311,0.384897,0.0495953
312,0.384723,0.0497691
313,0.384549,0.0499429
314,0.384376,0.0501167
315,0.384202,0.0502905
316,0.384028,0.0504643
317,0.383854,0.0506382
318,0.38368,0.050812
319,0.383507,0.0509858
320,0.383333,0.0511596
321,0.383159,0.0513334
322,0.382985,0.0515072
323,0.382811,0.051681
324,0.382637,0.0518548
325,0.382464,0.0520286
326,0.38229,0.0522024
327,0.382116,0.0523762
328,0.381942,0.05255
329,0.381768,0.0527238
330,0.381595,0.0528976
331,0.381421,0.0530714
332,0.381247,0.0532452
333,0.381073,0.053419
334,0.380899,0.0535928
335,0.380726,0.0537666
336,0.380552,0.0539404
337,0.380378,0.0541142
338,0.380204,0.054288
339,0.38003,0.0544618
340,0.379857,0.0546356
341,0.379683,0.0548094
342,0.379509,0.0549832
343,0.379335,0.055157
344,0.379161,0.0553308
345,0.378988,0.0555047
346,0.378814,0.0556785
347,0.37864,0.0558523
348,0.378466,0.0560261
349,0.378292,0.0561999
350,0.378118,0.0563737
351,0.377945,0.0565475
352,0.377771,0.0567213
353,0.377597,0.0568951
354,0.377423,0.0570689
355,0.377249,0.0572427
356,0.377076,0.0574165
357,0.376902,0.0575903
358,0.376728,0.0577641
359,0.376554,0.0579379
360,0.37638,0.0581117
361,0.376207,0.0582855
362,0.376033,0.0584593
363,0.375859,0.0586331
364,0.375685,0.0588069
365,0.375511,0.0589807
366,0.375338,0.0591545
367,0.375164,0.0593283
368,0.37499,0.0595021
369,0.374816,0.0596759
370,0.374642,0.0598497
371,0.374469,0.0600235
372,0.374295,0.0601974
373,0.374121,0.0603712
374,0.373932,0.0605606
375,0.373717,0.060775
376,0.373503,0.0609894
377,0.373288,0.0612038
378,0.373074,0.0614182
379,0.37286,0.0616326
380,0.372645,0.061847
381,0.372431,0.0620614
382,0.372216,0.0622758
383,0.372002,0.0624902
384,0.371788,0.0627046
385,0.371573,0.062919
386,0.371359,0.0631334
387,0.371144,0.0633478
388,0.37093,0.0635622
389,0.370716,0.0637766
390,0.370501,0.063991
391,0.370287,0.0642054
392,0.370072,0.0644198
393,0.369858,0.0646342
394,0.369644,0.0648486
395,0.369429,0.065063
396,0.369215,0.0652774
397,0.369,0.0654918
398,0.368786,0.0657062
399,0.368572,0.0659206
400,0.368357,0.066135
401,0.368143,0.0663494
402,0.367928,0.0665638
403,0.367714,0.0667782
404,0.3675,0.0669926
405,0.367285,0.067207
406,0.367071,0.0674214
407,0.366856,0.0676358
408,0.366642,0.0678502
409,0.366428,0.0680646
410,0.366213,0.068279
411,0.365999,0.0684934
412,0.365784,0.0687078
413,0.36557,0.0689222
414,0.365356,0.0691366
415,0.365141,0.069351
416,0.364927,0.0695654
417,0.364712,0.0697798
418,0.364498,0.0699942
419,0.364284,0.0702086
420,0.364069,0.070423
421,0.363855,0.0706374
422,0.36364,0.0708518
423,0.363426,0.0710662
424,0.363212,0.0712806
425,0.362997,0.071495
426,0.362783,0.0717094
427,0.362568,0.0719238
428,0.362354,0.0721382
429,0.36214,0.0723526
430,0.361925,0.072567
431,0.361711,0.0727814
432,0.361497,0.0729958
433,0.361282,0.0732102
434,0.361068,0.0734246
435,0.360853,0.073639
436,0.360639,0.0738534
437,0.360394,0.0740981
438,0.360139,0.0743531
439,0.359884,0.0746081
440,0.359629,0.0748631
441,0.359374,0.0751181
442,0.359119,0.0753731
443,0.358864,0.0756281
444,0.358609,0.0758831
445,0.358354,0.0761381
446,0.358099,0.0763931
447,0.357844,0.0766481
448,0.357589,0.0769031
449,0.357334,0.0771581
450,0.357079,0.0774131
451,0.356824,0.0776681
452,0.356569,0.0779231
453,0.356314,0.0781781
454,0.356059,0.0784332
455,0.355804,0.0786882
456,0.355549,0.0789432
457,0.355294,0.0791982
458,0.355039,0.0794532
459,0.354784,0.0797082
460,0.354529,0.0799632
461,0.354274,0.0802182
462,0.354019,0.0804732
463,0.353764,0.0807282
464,0.353509,0.0809832
465,0.353254,0.0812382
466,0.352999,0.0814932
