Point Magnitude;p;T.interface;T.liquid;T.vapour;U_magnitude;alpha.liquid;alpha.vapour
0;nan;nan;nan;nan;nan;nan;nan
0.00165515;1.48E+07;614.052;592.75;607.539;4.4671;0.434492;0
0.0033103;1.48E+07;614.052;592.75;608.126;4.4671;0.434492;0
0.00496545;1.48E+07;614.052;592.75;608.714;4.4671;0.434492;0
0.0066206;1.48E+07;614.052;592.75;609.301;4.4671;0.434492;0
0.00827574;1.48E+07;614.052;592.75;609.889;4.4671;0.434492;0
0.00993089;1.48E+07;614.052;592.75;610.476;4.4671;0.434492;0
0.011586;1.48E+07;614.051;592.75;611.064;4.4671;0.434492;0
0.0132412;1.48E+07;614.051;592.75;611.651;4.46711;0.434492;0
0.0148963;1.48E+07;614.051;592.75;612.239;4.46711;0.434492;0
0.0165515;1.48E+07;614.051;592.75;612.826;4.46711;0.434492;0
0.0182066;1.48E+07;614.051;592.75;613.414;4.46711;0.434492;0
0.0198618;1.48E+07;614.051;592.75;614.001;4.46711;0.434492;0
0.0215169;1.48E+07;614.051;592.75;614.051;4.46711;0.434492;0
0.0231721;1.48E+07;614.051;592.75;614.051;4.46711;0.434492;0
0.0248272;1.48E+07;614.051;592.75;614.051;4.46711;0.434492;0
0.0264824;1.48E+07;614.051;592.75;614.051;4.46712;0.434492;0
0.0281375;1.48E+07;614.05;592.75;614.05;4.46712;0.434492;0
0.0297927;1.48E+07;614.05;592.75;614.05;4.46712;0.434492;0
0.0314478;1.48E+07;614.05;592.75;614.05;4.46712;0.434492;0
0.033103;1.48E+07;614.05;592.75;614.05;4.46712;0.434492;0
0.0347581;1.48E+07;614.05;592.75;614.05;4.46712;0.434492;0
0.0364133;1.48E+07;614.05;592.75;614.05;4.46713;0.434492;0
0.0380684;1.48E+07;614.05;592.75;614.05;4.46713;0.434492;0
0.0397236;1.48E+07;614.049;592.75;614.049;4.46713;0.434492;0
0.0413787;1.48E+07;614.049;592.75;614.049;4.46713;0.434492;0
0.0430339;1.48E+07;614.049;592.75;614.049;4.46713;0.434492;0
0.044689;1.48E+07;614.049;592.75;614.049;4.46713;0.434492;0
0.0463442;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0479993;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0496545;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0513096;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0529648;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0546199;1.48E+07;614.049;592.75;614.049;4.46714;0.434492;0
0.0562751;1.48E+07;614.049;592.75;614.049;4.46715;0.434492;0
0.0579302;1.48E+07;614.049;592.75;614.049;4.46715;0.434492;0
0.0595854;1.48E+07;614.048;592.75;614.048;4.46715;0.434492;0
0.0612405;1.48E+07;614.048;592.75;614.048;4.46715;0.434492;0
0.0628957;1.48E+07;614.048;592.75;614.048;4.46715;0.434492;0
0.0645508;1.48E+07;614.048;592.75;614.048;4.46715;0.434492;0
0.066206;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0678611;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0695163;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0711714;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0728266;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0744817;1.48E+07;614.048;592.75;614.048;4.46716;0.434492;0
0.0761368;1.48E+07;614.048;592.75;614.048;4.46717;0.434492;0
0.077792;1.48E+07;614.048;592.75;614.048;4.46717;0.434492;0
0.0794471;1.48E+07;614.047;592.75;614.047;4.46717;0.434492;0
0.0811023;1.48E+07;614.047;592.763;614.047;4.46729;0.434492;0
0.0827574;1.48E+07;614.047;592.784;614.047;4.46748;0.434492;0
0.0844126;1.48E+07;614.047;592.804;614.047;4.46767;0.434492;0
0.0860677;1.48E+07;614.047;592.824;614.047;4.46786;0.434492;0
0.0877229;1.48E+07;614.047;592.844;614.047;4.46804;0.434492;0
0.089378;1.48E+07;614.047;592.864;614.047;4.46823;0.434492;0
0.0910332;1.48E+07;614.047;592.884;614.047;4.46842;0.434492;0
0.0926883;1.48E+07;614.047;592.904;614.047;4.46861;0.434492;0
0.0943435;1.48E+07;614.046;592.925;614.046;4.46879;0.434492;0
0.0959986;1.48E+07;614.046;592.945;614.046;4.46898;0.434492;0
0.0976538;1.48E+07;614.046;592.965;614.046;4.46917;0.434492;0
0.0993089;1.48E+07;614.046;592.985;614.046;4.46936;0.434492;0
0.100964;1.48E+07;614.046;593.014;614.046;4.46973;0.434492;0
0.102619;1.48E+07;614.046;593.051;614.046;4.47023;0.434492;0
0.104274;1.48E+07;614.046;593.087;614.046;4.47074;0.434492;0
0.10593;1.48E+07;614.046;593.123;614.046;4.47124;0.434492;0
0.107585;1.48E+07;614.045;593.159;614.045;4.47175;0.434492;0
0.10924;1.48E+07;614.045;593.195;614.045;4.47225;0.434492;0
0.110895;1.48E+07;614.045;593.232;614.045;4.47275;0.434492;0
0.11255;1.48E+07;614.045;593.268;614.045;4.47326;0.434492;0
0.114205;1.48E+07;614.045;593.304;614.045;4.47376;0.434492;0
0.11586;1.48E+07;614.045;593.34;614.045;4.47427;0.434492;0
0.117516;1.48E+07;614.045;593.376;614.045;4.47477;0.434492;0
0.119171;1.48E+07;614.045;593.413;614.045;4.47528;0.434492;0
0.120826;1.48E+07;614.045;593.449;614.045;4.47578;0.434492;0
0.122481;1.48E+07;614.044;593.485;614.044;4.47631;0.434492;0
0.124136;1.48E+07;614.044;593.521;614.044;4.47699;0.434492;0
0.125791;1.48E+07;614.044;593.557;614.044;4.47767;0.434492;0
0.127446;1.48E+07;614.044;593.593;614.044;4.47834;0.434492;0
0.129102;1.48E+07;614.044;593.629;614.044;4.47902;0.434492;0
0.130757;1.48E+07;614.044;593.665;614.044;4.47969;0.434492;0
