alpha.liquid,alpha.vapour,p,p_rgh,Points_Magnitude,powerDensity,rho,rhoCool,T.interface,T.liquid,T.vapour,U.liquid_0,U.liquid_1,U.liquid_2,U.liquid_Magnitude,U.vapour_0,U.vapour_1,U.vapour_2
nan,nan,nan,nan,0,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.434492,0,1.47713e+07,1.47713e+07,0.00165515,nan,nan,nan,614.051,592.75,607.538,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.0033103,nan,nan,nan,614.051,592.75,608.126,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.00496545,nan,nan,nan,614.051,592.75,608.713,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.0066206,nan,nan,nan,614.051,592.75,609.301,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.00827574,nan,nan,nan,614.051,592.75,609.888,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.00993089,nan,nan,nan,614.051,592.75,610.476,4.4671,0,0,4.4671,4.46708,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.011586,nan,nan,nan,614.051,592.75,611.063,4.4671,0,0,4.4671,4.46709,0,0
0.434492,0,1.47712e+07,1.47712e+07,0.0132412,nan,nan,nan,614.051,592.75,611.651,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0148963,nan,nan,nan,614.051,592.75,612.238,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0165515,nan,nan,nan,614.051,592.75,612.826,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0182066,nan,nan,nan,614.051,592.75,613.413,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0198618,nan,nan,nan,614.051,592.75,614.001,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0215169,nan,nan,nan,614.05,592.75,614.05,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0231721,nan,nan,nan,614.05,592.75,614.05,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.47711e+07,1.47711e+07,0.0248272,nan,nan,nan,614.05,592.75,614.05,4.46711,0,0,4.46711,4.46709,0,0
0.434492,0,1.4771e+07,1.4771e+07,0.0264824,nan,nan,nan,614.05,592.75,614.05,4.46712,0,0,4.46712,4.4671,0,0
0.434492,0,1.4771e+07,1.4771e+07,0.0281375,nan,nan,nan,614.05,592.75,614.05,4.46712,0,0,4.46712,4.4671,0,0
0.434492,0,1.4771e+07,1.4771e+07,0.0297927,nan,nan,nan,614.05,592.75,614.05,4.46712,0,0,4.46712,4.4671,0,0
0.434492,0,1.4771e+07,1.4771e+07,0.0314478,nan,nan,nan,614.05,592.75,614.05,4.46712,0,0,4.46712,4.4671,0,0
0.434492,0,1.4771e+07,1.4771e+07,0.033103,nan,nan,nan,614.05,592.75,614.05,4.46712,0,0,4.46712,4.4671,0,0
